Compound,CAS,MW,Compound type,Salting-out Constant,Melting Point_Celsius degree,pKa,Water Solubility_mgperL,LogKOW,LogKAW
"2,4-Dinitrophenol",51-28-5,184.11,4,0.1808,116,4.1,1441.5813,1.67,-6.32
Aldrin,309-00-2,364.91,1,0.374,129,7,0.026310011,6.5,-1.68
Azinphos-methyl,86-50-0,317.32,1,0.224,73,7,23.132628,2.75,-13.3
Chlorpyrifos,2921-88-2,350.59,1,0.3124,42,7,1.1499352,4.96,-4.17
"DDD-p,p'",50-29-3,354.49,1,0.3904,108,7,0.006699861,6.91,-3.82
"DDT-o,p'",789-02-6,354.49,1,0.3764,116,7,0.07656984,6.56,-3.95
"DDT-p,p'",72-54-8,320.04,1,0.3588,110,7,0.09025128,6.12,-3.32
Diazinon,333-41-5,304.35,1,0.2664,52.6,7,47.4786,3.81,-5.17
Dicofol,115-32-2,370.49,1,0.3148,77.5,7,0.8632417,5.02,-6.03
Dieldrin,60-57-1,380.91,1,0.3188,202,7,0.20835777,5.12,-4.26
Disulfoton,298-04-4,274.4,1,0.2748,-25,7,18.05552,4.02,-5.26
Endosulfan I,115-29-7,406.93,1,0.2672,106,7,0.40570921,3.83,-4.96
Endrin,72-20-8,380.91,1,0.3312,144,7,0.05180376,5.43,-4.26
Ethion,563-12-2,384.48,1,0.3168,-13,7,1.7340048,5.07,-7.25
Heptachlor,76-44-8,373.32,1,0.358,95.5,7,0.14223492,6.1,-2.92
Heptachlor epoxide B,1024-57-3,389.32,1,0.3132,160,7,0.22308036,4.98,-4.75
Lindane,58-89-9,290.83,1,0.2628,75.2,7,4.449699,3.72,-3.77
"Methoxychlor-o,p'",72-43-5,345.65,1,0.3172,87,7,0.08468425,5.08,-6.7
Parathion,56-38-2,291.26,1,0.2672,6.1,7,12.728062,3.83,-5.78
Trifluralin,1582-09-8,335.28,1,0.3276,49,7,0.28632912,5.34,-3.39
